"";"age";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";1;671;653;635;646;601;666;605;641;652;670;739;761;657;571;499;429;377;328;316;297;309;334;313;308;314;246;297;268;272;278;294;235;293;306;251
"2";2;54;40;41;33;39;44;55;43;53;46;45;47;35;37;39;30;38;44;29;21;20;25;24;30;21;42;30;33;24;36;28;30;18;14;25
"3";3;27;21;27;26;15;27;24;32;28;30;31;26;31;30;20;23;15;15;19;16;10;19;25;19;12;14;14;15;17;24;14;5;15;11;5
"4";4;29;22;28;23;22;23;22;25;20;16;28;20;30;30;16;11;17;20;15;8;6;14;10;14;7;19;15;9;7;21;12;13;12;16;14
"5";5;31;18;30;19;11;16;22;18;13;28;16;23;16;21;27;21;21;15;13;9;10;10;10;10;8;8;11;11;10;5;12;12;14;11;7
"6";6;24;20;18;18;13;21;16;16;18;16;14;7;18;13;16;17;19;14;15;9;7;10;9;10;8;12;10;11;9;8;4;6;7;8;11
"7";7;24;24;13;24;16;18;16;12;19;17;9;17;14;17;12;8;17;21;11;19;17;6;7;11;13;15;6;9;3;9;7;6;4;10;11
"8";8;23;20;20;10;19;16;9;13;13;6;16;12;13;25;17;14;9;11;10;16;11;14;7;6;5;7;7;6;1;13;10;11;8;9;8
"9";9;23;22;24;21;13;7;17;9;10;16;15;8;14;19;4;10;6;13;20;17;3;14;3;7;11;8;9;9;9;10;7;11;13;5;6
"10";10;22;16;16;20;17;12;16;15;10;7;23;12;8;10;8;12;12;16;17;12;19;6;10;11;6;7;11;6;6;7;4;13;3;3;5
"11";11;15;23;17;16;15;17;23;19;12;10;18;14;19;10;14;8;14;11;14;18;12;15;15;7;8;8;11;7;11;9;4;10;10;7;3
"12";12;14;13;14;17;23;18;22;17;20;12;13;13;10;18;14;9;10;9;12;13;14;14;12;8;11;6;11;4;7;7;5;9;9;5;7
"13";13;30;18;16;21;19;16;9;16;18;14;9;10;10;15;8;12;6;15;20;11;17;6;13;13;9;8;6;8;13;7;13;6;8;7;8
"14";14;26;20;15;15;19;19;25;18;17;18;17;15;19;15;14;17;15;12;12;15;18;16;8;18;18;24;14;11;12;8;11;8;13;13;11
"15";15;39;40;18;16;25;21;32;20;25;22;25;21;14;19;16;16;14;12;20;22;16;19;19;18;18;16;11;15;16;26;11;10;11;9;8
"16";16;42;41;48;45;39;27;36;37;39;46;35;21;23;24;16;19;22;26;37;19;22;23;22;26;26;29;30;27;15;21;16;16;17;8;16
"17";17;47;41;43;51;37;38;33;48;51;30;37;34;32;28;26;24;31;23;39;16;23;18;28;40;26;20;37;36;30;25;28;19;26;19;18
"18";18;55;57;47;39;35;52;53;48;49;50;34;62;43;36;19;34;28;24;44;31;28;29;23;28;27;29;39;36;39;42;34;38;32;20;25
"19";19;56;74;56;88;77;83;62;57;48;87;64;69;40;57;51;49;26;30;48;33;50;33;35;39;52;31;32;41;45;30;47;45;30;36;28
"20";20;63;77;68;70;70;73;69;81;72;83;85;62;49;54;52;48;33;34;35;46;57;52;65;52;49;44;52;64;55;55;45;53;33;50;43
"21";21;81;75;59;66;82;81;79;89;92;67;65;60;63;45;38;65;49;44;45;50;58;56;57;48;66;48;51;56;53;49;48;49;41;46;56
"22";22;66;75;79;53;63;73;78;84;86;71;68;49;72;68;44;56;44;60;47;50;51;65;46;47;60;57;61;57;56;56;67;59;62;57;48
"23";23;63;73;55;82;71;79;99;74;78;64;68;57;48;66;61;47;48;56;54;42;57;51;65;51;56;50;46;48;49;45;49;55;68;58;61
"24";24;90;74;61;85;84;71;72;83;85;79;75;71;68;69;63;51;61;67;51;49;49;53;61;52;51;47;66;41;60;58;57;58;47;61;69
"25";25;86;74;67;75;68;59;67;61;86;72;87;78;59;61;61;61;45;57;50;51;49;44;45;49;53;45;44;59;55;60;63;60;63;69;67
"26";26;100;74;86;78;75;82;83;73;80;73;79;85;70;61;57;54;55;66;57;64;56;52;55;57;54;55;51;63;53;49;63;59;54;61;66
"27";27;107;71;79;99;97;81;76;84;82;86;98;82;64;69;77;51;60;48;45;50;74;49;53;40;48;54;43;62;51;46;47;57;69;71;62
"28";28;87;85;96;81;90;75;78;94;91;88;75;101;87;83;76;61;64;53;59;54;43;65;58;49;47;45;40;47;64;58;54;55;55;72;61
"29";29;95;93;96;93;89;62;97;92;82;86;76;77;87;79;85;72;73;50;51;64;71;49;42;66;57;55;42;49;63;45;61;55;56;65;53
"30";30;119;103;84;90;88;85;80;85;86;88;96;87;69;73;89;79;76;61;52;66;53;52;50;55;59;62;60;54;65;67;62;61;53;68;71
"31";31;103;105;95;109;113;95;82;108;81;95;88;94;90;77;87;102;61;71;59;60;55;53;74;55;50;65;53;52;61;56;46;52;47;64;71
