"";"age";"a1980";"a1981";"a1982";"a1983";"a1984";"a1985";"a1986";"a1987";"a1988";"a1989";"a1990";"a1991";"a1992";"a1993";"a1994";"a1995";"a1996";"a1997";"a1998";"a1999";"a2000";"a2001";"a2002";"a2003";"a2004";"a2005";"a2006";"a2007";"a2008";"a2009";"a2010";"a2011";"a2012";"a2013";"a2014"
"1";1;781;736;731;728;677;760;706;741;753;762;843;854;753;668;574;493;447;407;379;342;345;392;372;371;354;321;356;325;320;359;348;283;338;347;295
"2";5;125;104;105;92;72;78;80;68;73;83;70;67;75;95;76;70;72;74;69;70;48;54;36;44;45;50;43;46;32;45;40;46;46;43;43
"3";10;107;90;78;89;93;82;95;85;77;61;80;64;66;68;58;58;57;63;75;69;80;57;58;57;52;53;53;36;49;38;37;46;43;35;34
"4";15;239;253;212;239;213;221;216;210;212;235;195;207;152;164;128;142;121;115;188;121;139;122;127;151;149;125;149;155;145;144;136;128;116;92;95
"5";20;363;374;322;356;370;377;397;411;413;364;361;299;300;302;258;267;235;261;232;237;272;277;294;250;282;246;276;266;273;263;266;274;251;272;277
"6";25;475;397;424;426;419;359;401;404;421;405;415;423;367;353;356;299;297;274;262;283;293;259;253;261;259;254;220;280;286;258;288;286;297;338;309
"7";30;622;569;507;504;516;498;444;492;500;489;457;470;414;412;429;440;406;367;349;344;301;318;324;285;281;300;305;276;317;285;297;296;280;323;355
"8";35;837;770;864;744;749;766;742;668;722;652;613;613;569;614;618;503;515;530;506;486;492;471;435;455;422;391;394;383;373;415;322;370;372;368;354
"9";40;963;879;921;958;1003;1021;1062;1049;1098;1104;981;965;893;847;877;854;738;730;727;772;632;675;654;662;598;662;644;642;632;585;575;506;529;520;535
"10";45;1343;1290;1244;1186;1211;1201;1349;1342;1426;1366;1531;1626;1537;1505;1478;1379;1308;1187;1152;1151;1141;1160;1030;1061;1022;938;926;959;904;968;885;956;953;910;894
"11";50;2174;2071;1967;1979;1785;1773;1748;1823;1806;1754;1742;1785;1895;1897;2012;2198;2226;2191;2007;2031;1958;1912;1751;1685;1677;1680;1616;1614;1592;1538;1434;1396;1399;1421;1430
"12";55;3675;3442;3383;3020;3069;3055;2830;2815;2732;2603;2606;2622;2498;2525;2576;2439;2537;2592;2764;2841;3061;3130;3141;3022;2972;2867;2690;2509;2479;2414;2270;2290;2226;2127;2088
"13";60;5804;5693;5624;5599;5308;5088;4765;4669;4579;4181;4139;4161;4045;3848;3625;3654;3509;3549;3533;3536;3569;3614;3796;3906;4040;4377;4421;4370;4279;4129;4053;3731;3605;3576;3445
"14";65;8566;8355;8159;7778;7714;8130;8082;7771;8074;7327;7086;6873;6640;6423;5905;5885;5746;5461;5382;5175;4960;4961;4915;5045;4976;5168;5157;5470;5679;5677;6126;6156;6208;6250;5985
"15";70;12445;12654;12176;11746;11535;11554;11231;11045;10918;10285;10689;10682;10778;10726;9922;9426;9202;8913;8453;8284;7979;7708;7770;7440;7168;6878;6747;6692;6702;6925;6958;7135;7368;7606;7932
"16";75;15373;15413;15298;15510;15730;16126;15767;15579;15771;15103;15172;14816;14305;14281;13590;14287;14075;14017;14152;13623;12789;12268;12013;11457;10768;10752;10439;10096;9812;9586;9644;9289;9682;9641;9739
"17";80;16213;16410;16512;16546;16655;17480;17546;17639;18668;17482;18784;18652;18487;18976;17634;17935;17628;17273;16902;17619;17604;17772;18060;18127;16789;16547;15689;15569;15056;14379;14348;14019;13998;13534;12971
"18";85;12767;13451;12903;13514;13423;14587;14935;15167;16079;15666;16360;16332;16903;17996;17263;18103;18528;18300;18657;18954;18833;18659;19056;18225;18376;19109;19626;19947;20213;19536;18887;18458;18748;17642;17219
"19";90;6686;6755;6886;7281;7424;8024;8057;8229;9059;8943;9483;10009;10162;11086;10504;11259;11802;12154;12536;13383;13320;14045;14493;14047;13841;14255;14293;14548;14746;14868;15840;16333;16968;17111;16369
"20";95;1986;2087;2061;2161;2162;2423;2448;2680;2865;2770;3077;3143;3349;3612;3410;3670;4014;4186;4264;4611;4872;5030;5527;5446;5514;5723;6019;6404;6317;6405;6439;6629;7018;6747;7111
"21";100;243;226;276;318;338;412;373;390;465;448;448;506;489;580;518;556;630;641;634;737;725;814;851;903;888;962;1050;1062;1163;1175;1203;1245;1390;1408;1401
"22";105;13;14;17;17;17;17;20;30;32;27;29;33;33;29;31;35;40;39;46;55;46;50;52;57;58;51;64;78;78;87;90;64;101;89;95
"23";110;0;1;1;0;0;0;1;0;0;0;0;0;0;1;2;3;0;2;2;2;2;4;1;4;1;1;0;2;2;1;1;2;1;2;1
